@relation Cybersecurity
@attribute score 	real		
@attribute type		real
@data
0.080423836,1
0.62568455,1
0.554002616,1
0.122554074,1
0.515139418,2
0.232103847,2
0.289628372,2
0.350704144,2
0.133621633,2
0.886304474,2
0.212839717,2
0.206036881,2
0.507516774,2
0.178233891,2
0.314500106,2
0.57751229,2
0.356110624,2
0.54292729,2
0.390219865,2
0.396778735,2
0.484794215,2
0.046530488,2
0.778994837,2
0.436483345,3
0.293379561,3
0.153178016,3
0.994249537,3
0.116806689,3
0.66223154,3
0.297630398,3
0.929865919,3
0.502605188,3
0.770513556,3
0.203338255,3
0.762611582,3
0.543769091,3
0.420387061,3
0.903694981,3
0.228449136,3
0.807236991,3
0.607575805,3
0.773360453,3
0.491313304,3
0.105846194,3
0.082792636,3
0.983846856,3
0.567299519,3
0.252699547,3
0.242718895,3
0.347171955,3
0.041005516,3
0.493009422,4
0.05718809,4
0.687667208,4
0.60795286,4
0.003774664,4
0.677741034,4
0.258830388,4
0.376742226,4
0.710337787,4
0.581549003,4
0.180351594,4
0.386737342,4
0.872843469,4
0.509999275,4
0.968875038,4
0.72582509,4
0.61368561,4
0.040710852,4
0.998870903,4
0.022336873,4
0.037814488,4
0.953973656,4
0.035321562,4
0.833345823,4
0.269963055,4
0.778498117,4
0.183448106,4
0.153625493,4
0.338150925,4
0.583690822,4
0.384190851,4
0.375576666,4
0.084342628,4
0.669705244,4
0.22697783,4
0.682561743,4
0.404628394,4
0.9922195,4
0.906700235,4
0.612194199,4
0.632503704,4
0.263961207,4
0.822510896,4
0.418400896,4
0.844593387,4
0.790441424,4
0.450273328,4
0.237766227,4
0.538967161,4
0.547810811,4
0.01728068,4
0.397979353,4
0.088387143,4
0.757128556,4
0.830466404,4
0.413222611,4
0.578740886,4
0.587754478,4
0.623228561,4
0.35613039,4
0.706683308,4
0.677799897,4
0.851127988,4
0.170815031,4
0.120111571,4
0.620767208,4
0.347274624,4
0.212179369,4
0.350525488,4
0.280599619,4
0.541186407,4
0.156566633,4
0.256717411,4
0.836560149,4
0.376070892,4
0.451869098,4
0.827839067,4
0.413369378,4
0.954355017,4
0.484830147,4
0.382253738,4
0.777404024,4
0.487868768,4
0.36432128,4
0.72273125,4
0.209455777,4
0.93108853,4
0.920700854,4
0.140463706,4
0.791400463,4
0.078434193,4
0.407797858,4
0.469410515,4
0.760095287,4
0.3414637,4
0.308852371,4
0.946694572,4
0.70060473,4
0.871362351,4
0.242463399,4
0.912540964,4
0.338822833,4
0.988456176,4
0.730563263,4
0.215680038,4
0.035746627,4
0.070935999,4
0.326259256,4
0.386518559,4
0.098668985,4
0.523090675,4
0.266957018,4
0.237413041,4
0.715760184,4
0.601992225,4
0.585460982,4
0.629079237,4
0.476584645,4
0.680764817,4
0.998060361,4
0.288596722,4
0.456379918,4
0.321207872,4
0.969408327,4
0.483845764,4
0.17170896,4
0.52580777,4
0.331810304,4
0.061732467,4
0.827926065,4
0.980381728,4
0.53381492,4
0.812365195,4
0.59685364,4
0.59090075,4
0.404708484,4
0.410984952,4
0.860928762,4
0.61301934,4
0.216281553,4
0.7853534,4
0.1279826,4
0.971932053,4
0.0349268,4
0.515823826,4
0.087043222,4
0.394340281,4
0.548163113,4
0.276470581,4
0.710292887,4
0.711170778,4
0.567061747,4
0.583217231,4
0.810832004,4
0.356645228,4
0.363684926,4
0.417254217,4
0.737633467,4
0.939787377,4
0.705202621,4
0.601955174,4
0.561039189,4
0.156441487,4
0.142390146,4
0.47537813,4
0.555100762,4
0.723861227,4
0.475169213,4
0.989089402,4
0.314422492,4
0.976758819,4
0.306714192,4
0.830945995,4
0.34820746,4
0.215906846,4
0.806238419,4
0.954346444,4
0.752590313,4
0.06240949,4
0.597251606,4
0.890639817,4
0.558117241,4
0.422052576,4
0.52337132,4
0.488284595,4
0.246864132,4
0.677295133,4
0.476812145,4
0.545447899,4
0.409919536,4
0.577200974,4
0.781174431,4
0.382237959,4
0.731917405,4
0.549747821,4
0.501500521,4
0.248080616,4
0.135637328,4
0.39963484,4
